property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change,month,year,date
Apartment,North West,38,76,50.00%,119,3.13,316300,3.67%,2.50%,3,2025,2025-03-01
Apartment,South,74,130,56.92%,169,2.28,310200,3.02%,0.06%,3,2025,2025-03-01
Apartment,South East,49,123,39.84%,190,3.88,360500,1.04%,-0.25%,3,2025,2025-03-01
Apartment,West,52,106,49.06%,141,2.71,356600,6.13%,-0.14%,3,2025,2025-03-01
Detached,City Centre,117,234,50.00%,325,2.78,983400,5.69%,1.90%,3,2025,2025-03-01
Detached,East,24,71,33.80%,79,3.29,521700,0.79%,-0.76%,3,2025,2025-03-01
Detached,North,136,241,56.43%,270,1.99,694600,2.77%,1.45%,3,2025,2025-03-01
Detached,North East,109,255,42.75%,388,3.56,607900,1.84%,0.30%,3,2025,2025-03-01
Detached,North West,133,212,62.74%,209,1.57,809200,4.52%,0.68%,3,2025,2025-03-01
Detached,South,233,392,59.44%,400,1.72,742900,4.50%,0.95%,3,2025,2025-03-01
Detached,South East,171,290,58.97%,327,1.91,733400,3.75%,0.44%,3,2025,2025-03-01
Detached,West,108,190,56.84%,186,1.72,992200,5.43%,3.14%,3,2025,2025-03-01
Row,City Centre,50,70,71.43%,85,1.7,610500,2.83%,1.19%,3,2025,2025-03-01
Row,East,17,27,62.96%,26,1.53,304700,8.98%,-0.07%,3,2025,2025-03-01
Row,North,62,113,54.87%,125,2.02,424700,1.00%,1.72%,3,2025,2025-03-01
Row,North East,50,122,40.98%,170,3.4,371700,2.68%,1.01%,3,2025,2025-03-01
Row,North West,38,68,55.88%,70,1.84,459900,5.36%,1.93%,3,2025,2025-03-01
Row,South,75,104,72.12%,104,1.39,404800,2.51%,0.47%,3,2025,2025-03-01
Row,South East,56,115,48.70%,158,2.82,467900,2.12%,2.59%,3,2025,2025-03-01
Row,West,52,69,75.36%,78,1.5,469200,2.80%,2.49%,3,2025,2025-03-01
Semi-detached,City Centre,49,93,52.69%,131,2.67,948900,6.00%,1.43%,3,2025,2025-03-01
Semi-detached,East,7,15,46.67%,15,2.14,408100,4.59%,0.20%,3,2025,2025-03-01
Semi-detached,North,16,41,39.02%,49,3.06,533600,2.58%,1.08%,3,2025,2025-03-01
Semi-detached,North East,19,44,43.18%,67,3.53,446700,3.33%,-0.25%,3,2025,2025-03-01
Semi-detached,North West,14,31,45.16%,29,2.07,664800,2.94%,0.86%,3,2025,2025-03-01
Semi-detached,South,34,56,60.71%,60,1.76,546400,5.28%,0.44%,3,2025,2025-03-01
Semi-detached,South East,28,32,87.50%,31,1.11,530800,5.42%,0.84%,3,2025,2025-03-01
